		c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	c18	c19	c20	c21	c22	cX
	3	12.122359279	9.9019416816	8.6966779659	8.1348209413	7.486593042	6.5397664252	6.0181026185	5.814384134	5.7765410555	5.5660682052	5.2882397126	5.3765372417	5.0950286	5.163389255	5.183884794	5.017189983	5.1477537488	5.0487709873	5.0133403101	5.0040513904	5.0751056955	4.9681982834	10.0745293271
	4	13.7911268465	11.1148195933	9.1786805195	7.8467523973	7.4822109333	6.5883286366	6.3044441859	5.8263289137	5.515406639	5.4578498338	5.4021612451	5.2396337331	5.1620526242	5.2484863711	5.1468116407	5.0712247237	5.0334870519	4.9657250974	5.0998293832	4.9861142983	4.9889269582	5.0543535743	10.2683682005
9	1	48.2681522878	39.9734414512	30.9708163646	25.4507757764	20.3487705119	16.7293432542	14.1647410424	12.6213382547	12.1623761721	10.4997039097	10.3326859671	10.0041256121	9.4173673351	9.5099176397	9.5145115189	9.0087414665	8.9409539749	8.8700736487	9.1549608192	8.8941844668	9.0757533084	8.8941232777	35.9106098964
	2	50.6983502633	39.5357818778	29.3162694621	24.5212003695	20.0919534338	17.1873759587	14.5524293414	12.3867292531	11.418197995	10.4527202553	10.3755977649	9.6497759314	9.4001374449	9.5065125177	9.5251733444	9.4132954103	9.2141770624	9.0603178262	9.3309973934	9.2166760024	8.9519681799	9.0415746862	37.1102902025
	3	53.8475022076	39.3558030401	29.5382987275	24.9446230472	19.2898253691	16.2966227871	14.6358157132	12.4521538715	11.2186048882	10.7755572496	9.9511742783	9.7750082993	9.5688333278	9.5132710685	9.5084040212	8.9212764239	8.9085506466	8.9936398034	9.2638797953	8.9495881907	9.1618693728	8.9336399193	34.8662190251
	4	49.8474959674	41.789532157	29.9181780135	23.7140009091	19.0412497332	16.8915968127	14.0830221728	12.4297573512	11.2642832876	10.975142066	10.5400489894	9.8421123187	10.0152554798	9.742229068	9.1792850367	9.354144153	9.1985187452	9.2191513721	9.3029504852	8.9842096011	9.2620781312	9.1375748087	33.440218266
15	1	148.3421097785	105.1255926807	68.4348979273	47.946747023	36.7834314997	30.3538756742	23.7491484136	20.6100802761	16.8139938549	17.5344041736	14.2260553453	16.5184732414	15.5716689156	13.4202917821	14.5380979753	13.3186688056	15.2327698541	15.041584451	14.1696213322	13.4291535081	14.6310804991	13.3874033145	86.3644347916
	2	122.820401579	104.0172759329	69.3595203679	45.2480243464	33.4089768879	26.5733667402	22.1955530637	22.7740159976	18.1470339147	14.9019380137	14.0226034886	15.6777950393	13.5294664192	13.6609128771	15.5476929456	13.040259449	14.2353286203	14.9750170237	13.0953774149	14.8622620051	13.4744554378	14.094600076	85.4179597355
	3	135.2452747826	92.5298558996	68.3517623044	50.320045533	35.2668125202	28.391534059	25.7346721225	20.8421848298	18.92324758	18.046881549	15.5370537753	14.1728646917	15.5168866763	14.5601245753	15.5605871813	13.3487382388	13.7131272198	14.5369953186	14.3297108354	14.5175830311	13.6607242677	13.3240707359	75.2804344372
	4	149.1636276967	94.6074427147	67.9117897056	51.7921692777	36.2749482672	30.5869159324	22.3878765742	21.8727668594	18.8757382746	15.2080914582	16.0721568188	14.5115916854	15.9321965991	14.8543819796	14.9892753726	13.1885339144	14.6541261447	13.1585671734	13.4700494327	14.2831131331	14.9701734925	14.0359766117	85.3125387937
18	1	560.0685983215	431.2785848747	329.3514471407	241.5039949392	176.3302593941	121.7468272059	102.9350181532	71.7402571417	57.3093820746	48.9210698925	36.2033602547	29.1114367157	23.6478118942	26.1466663082	17.2923344976	20.3052637087	19.0260686178	16.0319962512	16.894748196	15.3543385335	16.0845734531	15.429845971	386.8581426203
	2	627.8903454265	446.071247672	321.9933805909	224.6113682193	178.1832499407	131.2185205408	102.5443921488	71.2156404571	61.315048218	50.9036336154	40.5629056191	26.9226882371	25.8670982514	21.4512717134	22.210927361	15.7254623141	17.7286213377	15.1812705015	15.6380574005	15.4461917143	14.3165354427	12.9204539783	349.6333977703
	3	615.5337447928	423.4489467046	312.4230938054	234.6668041065	175.5423488977	133.2502769916	97.7691625713	79.7101708025	63.0325215218	45.6991965944	34.8709880826	34.0998610848	28.6231503409	20.446767852	19.679878524	16.0934878776	15.8298687757	14.1899708684	17.2735073279	15.6591361862	17.1260081154	12.9839270834	367.1735535671
	4	577.0483035664	433.5517547169	327.8450834635	230.0676796252	178.8842365946	128.2342694196	95.0923458389	74.1553355571	54.742322752	44.9688865282	40.8097934251	33.4814117486	26.8562925237	25.9478555463	17.1472970158	19.593943458	19.2270885657	18.2338183605	14.739686241	14.8657870626	16.9824083576	15.533910589	350.1052603207
21	1	85836.8951622287	85398.5120416743	75700.425951922	68761.0156774245	64279.1267035635	59391.452643707	53158.328915588	48071.735572273	44633.3036374624	40062.1111911359	36070.6654414467	32189.6196701844	28166.1089816352	24758.8985337816	21924.9458649165	19496.5054759633	16871.0783391153	14691.6535474188	12995.2031331603	11064.6412931196	9794.7632005102	8952.6056314337	81621.6207517
	2	88900.9462185524	80324.7725757153	77500.6057374503	71111.2744367068	63622.3329946141	59746.8923937432	52943.0201380105	48547.7614810238	43530.0802438129	39342.4294257807	35462.1861219534	31780.2573519214	28158.1826768673	25376.8804886062	21855.7496695702	19653.582460244	16835.8504120445	14560.6928719203	12993.42207871	11369.1021072415	10253.5490112626	9291.8161250573	77823.2496364954
	3	88373.6368775405	85133.9340003159	76832.2913359374	70567.4922570241	64006.1346121916	59564.2269810929	53673.6101112471	48310.1001570461	44602.2661261384	40304.0630103919	35896.1793694263	32040.9990368723	28343.8783456058	24658.8786529653	21936.3578402914	19119.5920506961	16844.6698986693	14678.2213512755	12900.3581589544	11165.4313699342	10099.2012472409	9248.7620882375	79814.4345449032
	4	88285.5923035933	84942.1477033829	74659.8128814459	69737.5307207491	64224.7241847452	59093.2365548783	53185.5068541724	49198.2818999539	44563.5705552447	39727.778202379	35436.9591849849	32172.3240955518	28494.7780278975	24802.6324472077	21944.4899584901	19144.3588982925	17181.567727102	15054.1409065781	12931.2590452382	11466.7953049342	10049.7672067683	8770.7451863859	81447.5972854932
23	1	827976.093600402	695959.307297949	589773.766323644	559135.454553801	413385.453999894	479936.776114612	363794.637749988	369337.232106179	280110.94548506	264597.296468244	258115.678409694	200159.730679328	169700.999589876	142038.716391927	105291.995073808	78758.7239435798	75864.9380401669	76461.7217513912	27940.4468607875	18866.2135784318	17671.0647499029	37634.7672683111	478507.449021747
	2	633775.059440421	574194.647709723	741624.344748021	641498.311658236	573560.956700027	442469.948980069	454363.444393694	388569.598956777	281608.172233309	285781.235049009	260206.196612867	233987.010599219	164529.458967049	154871.933533447	115034.69523567	74170.3400421686	87491.9302121441	56257.7119869149	39683.8315295239	20012.5474631827	13424.5653026722	32901.1928535182	510920.269772104



